time,value,group,percentage
01/09/2009,138692.1,B,0.073360343
01/09/2009,188854.2,C,0.09989328
01/09/2009,24636.6,D,0.01303138
01/09/2009,35254.7,E,0.018647759
01/09/2009,799.7,F,0.000422996
01/10/2009,1500911.5,A,0.790771245
01/10/2009,127902.2,B,0.067386639
01/10/2009,212507,C,0.111961581
01/10/2009,23148.2,D,0.012195876
01/10/2009,33566.1,E,0.017684658
01/10/2009,768.9,F,0.000405103
01/11/2009,1493259.9,A,0.779365238
01/11/2009,140850.2,B,0.073512822
01/11/2009,223342.6,C,0.116567423
01/11/2009,22761.2,D,0.011879572
01/11/2009,35781.1,E,0.018674944
01/11/2009,763.1,F,0.000398279
01/12/2009,1503854.6,A,0.76820173
01/12/2009,140700.4,B,0.071872833
01/12/2009,256755.8,C,0.131156463
01/12/2009,12550.3,D,0.006410967
01/12/2009,43768.7,E,0.022358007
01/12/2009,1235.9,F,0.000631325
01/01/2010,1501071.5,A,0.765973603
01/01/2010,136200.3,B,0.06950091
01/01/2010,265050.4,C,0.135251126
01/01/2010,12773.1,D,0.006517916
01/01/2010,44595.6,E,0.022756446
01/01/2010,577.7,F,0.000294791
01/02/2010,1505485.3,A,0.769303091
01/02/2010,134651.4,B,0.068806875
01/02/2010,262997.4,C,0.134391689
01/02/2010,12788.3,D,0.006534822
01/02/2010,41024.4,E,0.020963471
01/02/2010,911.9,F,0.000465981
01/03/2010,1503741.1,A,0.769171761
01/03/2010,132377.4,B,0.067711761
01/03/2010,261879,C,0.133952535
01/03/2010,12614.5,D,0.006452385
01/03/2010,44401.5,E,0.022711609
01/03/2010,1083.2,F,0.000554063
01/04/2010,1505909.9,A,0.771097683
01/04/2010,131744.7,B,0.067459569
01/04/2010,259665.9,C,0.132961324
01/04/2010,12586.1,D,0.006444683
01/04/2010,43036.6,E,0.022036792
01/04/2010,969.1,F,0.000496225
01/05/2010,1525815.5,A,0.767182182
01/05/2010,130049.9,B,0.065389273
01/05/2010,268644.6,C,0.135074883
